timestamp,method,dataset,missing_rate,trial,seed,n_neighbors,accuracy,tuning_time_sec,train_time_sec,predict_time_sec,total_time_sec
2026-07-20T23:09:01,KNN-IC,Darwin,0.1,0,0,1,0.6857142857142857,2.065776041999925,0.1212887919973582,0.02078249998157844,2.2078527920530178
2026-07-20T23:09:01,Mean-IC,Darwin,0.1,0,0,4,0.6571428571428571,0.18222341703949496,0.0016023339703679085,0.01841441699070856,0.20224524999503046
2026-07-20T23:09:02,KNN-Direct,Darwin,0.1,0,0,3,0.5428571428571428,0.5833426669705659,0.0,0.06062029203167185,0.6439667920349166
2026-07-20T23:09:03,KNN-Direct-Weighted,Darwin,0.1,0,0,1,0.6285714285714286,0.5941981250070967,0.0,0.06182325002737343,0.6560260830447078
2026-07-20T23:09:03,KNN-Direct-Manhattan,Darwin,0.1,0,0,1,0.6571428571428571,0.5747935409890488,0.0,0.06012954202014953,0.6349268750054762
2026-07-20T23:09:06,KNN-IC,Darwin,0.1,1,1,2,0.5714285714285714,2.0660785419750027,0.12261116603622213,0.02105887496145442,2.2097533339983784
2026-07-20T23:09:06,Mean-IC,Darwin,0.1,1,1,1,0.5428571428571428,0.18308737501502037,0.001539750024676323,0.018395667022559792,0.2030274160206318
2026-07-20T23:09:06,KNN-Direct,Darwin,0.1,1,1,1,0.6571428571428571,0.5853685829788446,0.0,0.060267041029874235,0.6456390829989687
2026-07-20T23:09:07,KNN-Direct-Weighted,Darwin,0.1,1,1,1,0.6285714285714286,0.594853917020373,0.0,0.0609425000147894,0.6558003340032883
2026-07-20T23:09:08,KNN-Direct-Manhattan,Darwin,0.1,1,1,1,0.6,0.5745473749702796,0.0,0.05938729096669704,0.6339384999591857
2026-07-20T23:09:10,KNN-IC,Darwin,0.1,2,2,1,0.6,2.0234792919945903,0.12112920795334503,0.02096524997614324,2.1655778750428
