timestamp,method,dataset,missing_rate,trial,seed,n_neighbors,accuracy,tuning_time_sec,train_time_sec,predict_time_sec,total_time_sec
2026-07-14T17:23:47,KNN-IC,Toxicity,0.1,0,0,13,0.5714285714285714,5.267427540995413,0.33921887501492165,0.035607291996711865,5.642260458000237
2026-07-14T17:23:48,Mean-IC,Toxicity,0.1,0,0,13,0.6,0.21116962502128445,0.003660125017631799,0.021334749995730817,0.2361736659950111
2026-07-14T17:23:48,KNN-Direct,Toxicity,0.1,0,0,5,0.6571428571428571,0.8363382920215372,0.0,0.0880724580201786,0.9244149579899386
2026-07-14T17:23:50,KNN-Direct-Weighted,Toxicity,0.1,0,0,5,0.6571428571428571,0.9391056660097092,0.0,0.09785291599109769,1.0369680830044672
2026-07-14T17:23:50,KNN-Direct-Manhattan,Toxicity,0.1,0,0,3,0.6,0.8207744999963325,0.0,0.086090291995788,0.9068687080289237
2026-07-14T17:23:56,KNN-IC,Toxicity,0.1,1,1,14,0.6285714285714286,4.951771250023739,0.3437714579922613,0.03503025000100024,5.3305792920000385
2026-07-14T17:23:56,Mean-IC,Toxicity,0.1,1,1,11,0.6285714285714286,0.20774662497569807,0.003377707995241508,0.021234292013105005,0.2323644999996759
2026-07-14T17:23:57,KNN-Direct,Toxicity,0.1,1,1,7,0.6571428571428571,0.8292819999915082,0.0,0.08672954101348296,0.9160151669930201
2026-07-14T17:23:58,KNN-Direct-Weighted,Toxicity,0.1,1,1,7,0.6571428571428571,0.9283752090123016,0.0,0.09740416699787602,1.0257839999976568
2026-07-14T17:23:59,KNN-Direct-Manhattan,Toxicity,0.1,1,1,13,0.6571428571428571,0.9249672079749871,0.0,0.10054333301377483,1.0255149999866262
2026-07-14T17:24:05,KNN-IC,Toxicity,0.1,2,2,5,0.7142857142857143,5.2055437919916585,0.33450366600300185,0.035092165984679013,5.575144542002818
2026-07-14T17:24:05,Mean-IC,Toxicity,0.1,2,2,5,0.6857142857142857,0.20769133302383125,0.003411457990296185,0.02145874997950159,0.23256854098872282
2026-07-14T17:24:06,KNN-Direct,Toxicity,0.1,2,2,12,0.6857142857142857,0.828456165996613,0.0,0.08709387498674914,0.9155540420033503
2026-07-14T17:24:07,KNN-Direct-Weighted,Toxicity,0.1,2,2,13,0.6857142857142857,0.9317002919851802,0.0,0.09721512501710095,1.028919540985953
2026-07-14T17:24:08,KNN-Direct-Manhattan,Toxicity,0.1,2,2,15,0.6571428571428571,0.892871791991638,0.0,0.08563866699114442,0.9785138749866746
2026-07-14T17:24:13,KNN-IC,Toxicity,0.1,3,3,11,0.6571428571428571,4.992103500000667,0.3357950830250047,0.0353645000141114,5.363268249988323
2026-07-14T17:24:13,Mean-IC,Toxicity,0.1,3,3,11,0.6571428571428571,0.2072619999817107,0.003314166999189183,0.021124249993590638,0.231704957986949
2026-07-14T17:24:14,KNN-Direct,Toxicity,0.1,3,3,11,0.7142857142857143,1.0687866249936633,0.0,0.10216770900296979,1.170958458998939
2026-07-14T17:24:16,KNN-Direct-Weighted,Toxicity,0.1,3,3,11,0.6857142857142857,1.1052672500081826,0.0,0.11094749998301268,1.2162202080071438
2026-07-14T17:24:17,KNN-Direct-Manhattan,Toxicity,0.1,3,3,11,0.6,0.822099375014659,0.0,0.08649983297800645,0.9086037079978269
2026-07-14T17:24:22,KNN-IC,Toxicity,0.1,4,4,3,0.6,4.920574457995826,0.312077209004201,0.03521108298446052,5.267868042021291
2026-07-14T17:24:22,Mean-IC,Toxicity,0.1,4,4,3,0.6,0.2074641660146881,0.00329895899631083,0.02139395900303498,0.2321617090201471
2026-07-14T17:24:23,KNN-Direct,Toxicity,0.1,4,4,3,0.5714285714285714,0.8244859170226846,0.0,0.08691962499869987,0.9114101250015665
2026-07-14T17:24:24,KNN-Direct-Weighted,Toxicity,0.1,4,4,3,0.5714285714285714,0.9265656249772292,0.0,0.0969913339940831,1.0235622500185855
2026-07-14T17:24:25,KNN-Direct-Manhattan,Toxicity,0.1,4,4,6,0.6,0.8166772499971557,0.0,0.08579074998851866,0.902472875022795
2026-07-14T17:24:31,KNN-IC,Toxicity,0.1,5,5,6,0.4857142857142857,5.344903958000941,0.3305145420017652,0.03516458297963254,5.710588083020411
2026-07-14T17:24:31,Mean-IC,Toxicity,0.1,5,5,6,0.5142857142857142,0.20757095800945535,0.0033176249999087304,0.02107687498209998,0.23196966599789448
2026-07-14T17:24:32,KNN-Direct,Toxicity,0.1,5,5,11,0.6571428571428571,0.8272529169917107,0.0,0.08696729197981767,0.9142247079871595
2026-07-14T17:24:33,KNN-Direct-Weighted,Toxicity,0.1,5,5,7,0.6285714285714286,0.9298807089799084,0.0,0.09718524999334477,1.0270701670087874
2026-07-14T17:24:34,KNN-Direct-Manhattan,Toxicity,0.1,5,5,15,0.6571428571428571,0.8181543340033386,0.0,0.08609908298240043,0.9042594170023222
2026-07-14T17:24:39,KNN-IC,Toxicity,0.1,6,6,5,0.6285714285714286,4.902137166005559,0.3737863339774776,0.035103750007692724,5.311032208002871
2026-07-14T17:24:39,Mean-IC,Toxicity,0.1,6,6,1,0.37142857142857144,0.2074658749916125,0.0035584169963840395,0.021177749993512407,0.23220645799301565
2026-07-14T17:24:40,KNN-Direct,Toxicity,0.1,6,6,5,0.6,0.8277683749911375,0.0,0.08752120801364072,0.9152929590200074
