timestamp,method,dataset,missing_rate,trial,seed,n_neighbors,accuracy,tuning_time_sec,train_time_sec,predict_time_sec,total_time_sec
2026-07-13T23:08:51,KNN-IC,Darwin,0.1,0,0,1,0.6857142857142857,0.6719997079926543,0.12211095800739713,0.021323708002455533,0.8154398330079857
2026-07-13T23:08:51,KNN-Direct,Darwin,0.1,0,0,1,0.6285714285714286,0.1950152089993935,0.0,0.06848370798979886,0.2635031249956228
2026-07-13T23:08:51,KNN-Direct-Weighted,Darwin,0.1,0,0,5,0.6571428571428571,0.2746235829836223,0.0,0.08336275001056492,0.35799108401988633
2026-07-13T23:08:52,KNN-IC,Darwin,0.1,1,1,1,0.6571428571428571,0.6441009580157697,0.11692037500324659,0.020948707999195904,0.7819743750151247
2026-07-13T23:08:53,KNN-Direct,Darwin,0.1,1,1,1,0.6,0.37532287498470396,0.0,0.12168491698685102,0.4970133749884553
2026-07-13T23:08:53,KNN-Direct-Weighted,Darwin,0.1,1,1,1,0.5714285714285714,0.3902891250036191,0.0,0.07323024998186156,0.4635238329938147
2026-07-13T23:08:54,KNN-IC,Darwin,0.1,2,2,3,0.5142857142857142,0.6143077080196235,0.11449991699191742,0.020951124985003844,0.7497626669937745
2026-07-13T23:08:54,KNN-Direct,Darwin,0.1,2,2,1,0.5428571428571428,0.19295391600462608,0.0,0.059656708006514236,0.25261270900955424
2026-07-13T23:08:54,KNN-Direct-Weighted,Darwin,0.1,2,2,3,0.4857142857142857,0.22334820800460875,0.0,0.06961554198642261,0.29296608400181867
2026-07-13T23:08:55,KNN-IC,Darwin,0.1,3,3,1,0.5428571428571428,0.6123077079828363,0.11112262500682846,0.020631874998798594,0.744065207982203
2026-07-13T23:08:55,KNN-Direct,Darwin,0.1,3,3,4,0.5714285714285714,0.19240591701236553,0.0,0.06000716701964848,0.25241529202321544
2026-07-13T23:08:56,KNN-Direct-Weighted,Darwin,0.1,3,3,1,0.5714285714285714,0.2228363750036806,0.0,0.06898108398308977,0.29182033299002796
2026-07-13T23:08:56,KNN-IC,Darwin,0.1,4,4,4,0.6857142857142857,0.6197616250137798,0.12414025000180118,0.020843917009187862,0.7647491660027299
2026-07-13T23:08:57,KNN-Direct,Darwin,0.1,4,4,1,0.7142857142857143,0.193112957989797,0.0,0.05980508399079554,0.2529205830069259
2026-07-13T23:08:57,KNN-Direct-Weighted,Darwin,0.1,4,4,5,0.6571428571428571,0.2231279169791378,0.0,0.06939883300219662,0.29252970800735056
2026-07-13T23:08:58,KNN-IC,Darwin,0.1,5,5,5,0.7142857142857143,0.6181376249878667,0.12206633400637656,0.02057200000854209,0.7607790000038221
2026-07-13T23:08:58,KNN-Direct,Darwin,0.1,5,5,5,0.6857142857142857,0.19508591701742262,0.0,0.07451050000963733,0.26959933401667513
2026-07-13T23:08:58,KNN-Direct-Weighted,Darwin,0.1,5,5,5,0.6857142857142857,0.22939412502455525,0.0,0.06957716701435857,0.2989750829874538
2026-07-13T23:08:59,KNN-IC,Darwin,0.1,6,6,1,0.6857142857142857,0.6140104999940377,0.11172570800408721,0.020686250005383044,0.7464253749931231
