timestamp,method,dataset,missing_rate,trial,seed,n_neighbors,accuracy,tuning_time_sec,train_time_sec,predict_time_sec,total_time_sec
2026-07-14T01:33:59,KNN-IC,Parkinson,0.1,0,0,2,0.8881578947368421,3.922561332990881,0.5047802079934627,0.47268725000321865,4.900034083984792
2026-07-14T01:34:04,KNN-Direct,Parkinson,0.1,0,0,1,0.8486842105263158,4.064645665988792,0.0,1.2994478329783306,5.364100000006147
2026-07-14T01:34:11,KNN-Direct-Weighted,Parkinson,0.1,0,0,1,0.8486842105263158,4.788573958008783,0.0,1.4575612919870764,6.246140125003876
2026-07-14T01:34:16,KNN-IC,Parkinson,0.1,1,1,1,0.9144736842105263,3.920207624993054,0.4794631249969825,0.4820374170085415,4.881714208982885
2026-07-14T01:34:21,KNN-Direct,Parkinson,0.1,1,1,4,0.881578947368421,4.490307083004154,0.0,1.266626124997856,5.756937250000192
2026-07-14T01:34:28,KNN-Direct-Weighted,Parkinson,0.1,1,1,1,0.8881578947368421,4.705649707990233,0.0,1.4747902500093915,6.1804439580009785
2026-07-14T01:34:33,KNN-IC,Parkinson,0.1,2,2,2,0.9473684210526315,3.9732944580027834,0.5021034590026829,0.47476924999500625,4.950173374993028
2026-07-14T01:34:38,KNN-Direct,Parkinson,0.1,2,2,3,0.881578947368421,4.193115041998681,0.0,1.3120458749763202,5.505164083006093
2026-07-14T01:34:44,KNN-Direct-Weighted,Parkinson,0.1,2,2,1,0.9276315789473685,4.773519582988229,0.0,1.627568958007032,6.401093166990904
2026-07-14T01:34:50,KNN-IC,Parkinson,0.1,3,3,1,0.8947368421052632,4.156749999994645,0.47192129198811017,0.4763399590156041,5.105016749992501
2026-07-14T01:34:55,KNN-Direct,Parkinson,0.1,3,3,3,0.8486842105263158,4.0790056659898255,0.0,1.27326741599245,5.3522764169902075
2026-07-14T01:35:01,KNN-Direct-Weighted,Parkinson,0.1,3,3,1,0.881578947368421,4.677376916020876,0.0,1.8147767500195187,6.492158165987348
2026-07-14T01:35:06,KNN-IC,Parkinson,0.1,4,4,2,0.8881578947368421,3.9967247919994406,0.5069848330167588,0.4752316669910215,4.978949041978922
2026-07-14T01:35:12,KNN-Direct,Parkinson,0.1,4,4,1,0.8552631578947368,4.08536358398851,0.0,1.2746852910204325,5.360052917007124
2026-07-14T01:35:18,KNN-Direct-Weighted,Parkinson,0.1,4,4,1,0.8618421052631579,4.886491833021864,0.0,1.46113083299133,6.347627666982589
2026-07-14T01:35:23,KNN-IC,Parkinson,0.1,5,5,2,0.9144736842105263,3.934012707992224,0.5110643329971936,0.4818220410088543,4.926903209008742
2026-07-14T01:35:28,KNN-Direct,Parkinson,0.1,5,5,1,0.881578947368421,4.082807625003625,0.0,1.2722451660083607,5.355056665983284
2026-07-14T01:35:35,KNN-Direct-Weighted,Parkinson,0.1,5,5,4,0.875,4.876084042014554,0.0,1.4648121669888496,6.340901415998815
2026-07-14T01:35:40,KNN-IC,Parkinson,0.1,6,6,3,0.8618421052631579,3.926992708002217,0.5367612910049502,0.47623491601552814,4.939993167005014
2026-07-14T01:35:45,KNN-Direct,Parkinson,0.1,6,6,3,0.875,4.0755712920217775,0.0,1.2698872499749996,5.345462375000352
2026-07-14T01:35:52,KNN-Direct-Weighted,Parkinson,0.1,6,6,1,0.881578947368421,5.150425875006476,0.0,1.4655205000017304,6.615951583022252
2026-07-14T01:35:56,KNN-IC,Parkinson,0.1,7,7,1,0.9013157894736842,3.859065083001042,0.471545165986754,0.4785259590134956,4.809143708989723
2026-07-14T01:36:02,KNN-Direct,Parkinson,0.1,7,7,1,0.868421052631579,4.076260458998149,0.0,1.4226742500031833,5.4989376250014175
2026-07-14T01:36:08,KNN-Direct-Weighted,Parkinson,0.1,7,7,1,0.868421052631579,4.694735333992867,0.0,1.4616246669902466,6.156364666996524
